,1stServesIn,1stWon,2ndWon,win
4093,66,70,57,1
4094,57,87,45,1
4095,64,72,62,1
4096,85,75,85,1
4097,56,68,60,1
4098,66,60,47,1
4099,56,70,51,1
4100,60,71,40,1
4101,77,71,40,1
4102,47,65,58,1
4103,55,72,63,1
4104,57,69,50,1
4105,54,67,65,1
4106,68,70,42,1
4107,55,72,52,1
4108,46,73,55,1
4109,56,64,56,1
4110,71,70,75,1
4111,56,70,57,1
4112,62,76,38,1
4113,64,73,59,1
4114,58,77,54,1
4115,62,78,68,1
4116,79,71,35,1
4117,58,65,55,1
4118,52,64,64,1
4119,58,80,57,1
4120,69,82,46,1
4121,50,70,56,1
4122,61,77,52,1
4123,58,65,54,1
4124,58,75,45,1
4125,63,75,52,1
4126,65,64,46,1
4127,53,68,48,1
4128,63,68,60,1
4129,53,67,55,1
4130,66,58,45,1
4131,71,75,60,1
4132,55,63,36,1
4133,55,66,54,1
4134,65,65,43,1
4135,56,76,65,1
4136,61,71,60,1
4137,63,74,59,1
4138,62,70,73,1
4139,71,75,61,1
4140,50,75,47,1
4141,63,63,36,1
4142,51,57,55,1
4143,63,64,38,1
4144,64,88,60,1
4145,86,64,80,1
4146,62,70,50,1
4147,61,79,54,1
4148,46,83,66,1
4149,63,67,47,1
4150,53,63,50,1
4151,57,69,58,1
4152,66,65,50,1
4153,54,66,70,1
4154,56,70,73,1
4155,47,64,61,1
4156,56,77,44,1
4157,52,75,58,1
4158,48,81,45,1
4159,58,65,48,1
4160,85,75,66,1
4161,53,75,61,1
4162,71,65,62,1
4163,86,65,71,1
4164,61,74,55,1
4165,67,67,53,1
4166,54,73,57,1
4167,52,70,51,1
4168,72,75,81,1
4169,77,58,41,1
4170,46,65,50,1
4171,57,73,51,1
4172,61,77,64,1
4173,65,78,62,1
4174,47,78,64,1
4175,64,68,61,1
4176,52,60,50,1
4177,61,79,47,1
4178,49,77,41,1
4179,46,81,64,1
4180,57,64,66,1
4181,63,74,57,1
4182,59,68,54,1
4183,54,74,53,1
4184,58,60,47,1
4185,54,67,44,1
4186,53,79,48,1
4187,65,77,52,1
4188,63,70,40,1
4189,55,66,60,1
4190,77,68,40,1
4191,63,68,43,1
4192,52,69,47,1
4193,51,72,45,1
4194,70,69,53,1
4195,62,65,52,1
4196,60,66,42,1
4197,58,75,69,1
4198,56,70,47,1
4199,54,77,60,1
4200,47,67,59,1
4201,43,80,48,1
4202,60,78,50,1
4203,72,77,66,1
4204,52,74,42,1
4205,64,68,56,1
4206,49,70,47,1
4207,50,80,80,1
4208,58,77,43,1
4209,57,70,63,1
4210,72,91,66,1
4211,52,79,61,1
4212,54,68,54,1
4213,56,74,56,1
4214,59,80,62,1
4215,52,70,58,1
4216,58,85,44,1
4217,66,84,63,1
4218,63,73,47,1
4219,69,66,52,1
4220,59,63,51,1
4221,58,91,64,1
4222,69,65,72,1
4223,58,72,53,1
4224,65,70,46,1
4225,51,80,43,1
4226,54,90,64,1
4227,60,79,73,1
4228,52,81,54,1
4229,56,82,50,1
4230,56,90,60,1
4231,54,80,44,1
4232,60,85,51,1
4233,58,68,62,1
4234,55,83,82,1
4235,52,77,53,1
4236,63,70,73,1
4237,59,75,60,1
4238,55,96,56,1
4239,57,76,51,1
4240,58,84,45,1
4241,59,90,60,1
4242,66,81,52,1
4243,63,75,68,1
4244,70,65,46,1
4245,65,84,84,1
4246,47,74,65,1
4247,62,81,57,1
4248,54,81,65,1
4249,57,77,48,1
4250,48,84,50,1
4251,60,65,42,1
4252,48,85,71,1
4253,56,73,50,1
4254,61,91,66,1
4255,65,77,46,1
4256,59,73,54,1
4257,56,66,51,1
4258,57,75,50,1
4259,59,83,60,1
4260,57,70,54,1
4261,66,77,50,1
4262,51,84,61,1
4263,54,70,61,1
4264,53,83,62,1
4265,69,73,52,1
4266,50,85,60,1
4267,60,80,43,1
4268,61,75,65,1
4269,66,71,56,1
4270,68,73,47,1
4271,55,96,65,1
4272,60,82,50,1
4273,48,91,73,1
4274,52,89,51,1
4275,61,86,63,1
4276,65,72,57,1
4277,60,72,57,1
4278,54,78,34,1
4279,49,66,57,1
4280,46,70,67,1
4281,64,81,65,1
4282,68,70,50,1
4283,64,68,48,1
4284,65,63,66,1
4285,78,88,80,1
4286,56,79,59,1
4287,72,78,66,1
4288,43,85,55,1
4289,61,84,55,1
4290,61,65,61,1
4291,54,76,71,1
4292,52,74,64,1
4293,58,66,64,1
4294,53,71,62,1
4295,66,76,53,1
4296,65,76,52,1
4297,63,77,48,1
4298,57,85,47,1
4299,53,63,45,1
4300,63,77,38,1
4301,62,73,62,1
4302,68,84,60,1
4303,50,88,57,1
4304,64,82,54,1
4305,57,65,60,1
4306,53,84,51,1
4307,57,69,53,1
4308,70,74,65,1
4309,69,80,69,1
4310,63,71,59,1
4311,61,88,50,1
4312,64,81,60,1
4313,57,72,54,1
4314,50,78,52,1
4315,50,82,67,1
4316,48,74,53,1
4317,65,94,66,1
4318,75,82,66,1
4319,50,76,58,1
4320,60,82,46,1
4321,68,73,62,1
4322,65,70,66,1
4323,49,82,41,1
4324,66,83,79,1
4325,52,77,56,1
4326,55,76,53,1
4327,54,72,73,1
4328,55,60,60,1
4329,46,82,73,1
4330,47,69,67,1
4331,50,63,62,1
4332,56,75,60,1
4333,69,81,57,1
4334,53,69,55,1
4335,59,57,65,1
4336,60,75,51,1
4337,51,79,47,1
4338,50,70,66,1
4339,57,77,47,1
4340,56,81,45,1
4341,56,80,42,1
4342,67,81,53,1
4343,59,78,68,1
4344,68,78,58,1
4345,62,74,57,1
4346,62,71,46,1
4347,55,69,55,1
4348,57,73,50,1
4349,57,73,61,1
4350,46,79,47,1
4351,60,83,66,1
4352,61,71,48,1
4353,61,65,59,1
4354,45,80,64,1
4355,52,84,51,1
4356,51,75,46,1
4357,63,78,63,1
4358,53,64,59,1
4359,55,88,62,1
4360,69,79,64,1
4361,71,71,64,1
4362,57,69,55,1
4363,55,62,47,1
4364,63,75,45,1
4365,50,86,45,1
4366,61,90,57,1
4367,68,62,58,1
4368,44,69,57,1
4369,68,64,62,1
4370,50,77,53,1
4371,59,85,64,1
4372,61,79,61,1
4373,50,75,60,1
4374,63,77,65,1
4375,46,80,55,1
4376,52,80,60,1
4377,56,61,50,1
4378,51,65,56,1
4379,58,75,61,1
4380,64,81,37,1
4381,65,78,46,1
4382,50,74,46,1
4383,52,68,56,1
4384,69,76,52,1
4385,58,76,56,1
4386,50,93,56,1
4387,50,75,59,1
4388,48,70,68,1
4389,47,88,60,1
4390,59,79,47,1
4391,50,76,50,1
4392,56,81,58,1
4393,62,83,54,1
4394,57,77,50,1
4395,51,90,55,1
4396,72,64,57,1
4397,60,96,56,1
4398,43,88,60,1
4399,66,76,46,1
4400,58,80,72,1
4401,54,87,75,1
4402,50,60,70,1
4403,59,75,47,1
4404,53,81,48,1
4405,65,88,85,1
4406,55,88,59,1
4407,56,77,57,1
4408,62,70,52,1
4409,47,88,71,1
4410,63,89,54,1
4411,50,79,57,1
4412,60,81,62,1
4413,49,79,49,1
4414,52,73,64,1
4415,60,72,68,1
4416,58,83,58,1
4417,58,72,61,1
4418,48,78,64,1
4419,49,88,69,1
4420,52,77,56,1
4421,64,86,68,1
4422,53,66,44,1
4423,50,87,61,1
4424,56,77,71,1
4425,70,68,58,1
4426,48,90,53,1
4427,65,86,66,1
4428,56,75,79,1
4429,60,75,51,1
4430,65,85,71,1
4431,57,75,42,1
4432,60,71,52,1
4433,56,89,57,1
4434,71,86,88,1
4435,59,66,44,1
4436,51,84,50,1
4437,59,73,50,1
4438,57,78,45,1
4439,54,73,64,1
4440,61,82,58,1
4441,47,78,68,1
4442,52,82,62,1
4443,56,62,57,1
4444,56,68,54,1
4445,58,85,62,1
4446,53,83,50,1
4447,57,87,45,1
4448,55,81,59,1
4449,54,80,75,1
4450,61,75,63,1
4451,58,90,65,1
4452,51,92,70,1
4453,76,81,46,1
4454,53,90,72,1
4455,53,63,58,1
4456,52,88,50,1
4457,59,59,59,1
4458,56,73,65,1
4459,55,77,60,1
4460,57,78,71,1
4461,66,76,40,1
4462,52,79,58,1
4463,53,79,55,1
4464,43,84,61,1
4465,72,80,58,1
4466,60,82,66,1
4467,70,68,57,1
4468,55,82,60,1
4469,65,76,60,1
4470,54,92,41,1
4471,51,86,60,1
4472,42,92,70,1
4473,59,89,57,1
4474,76,76,61,1
4475,48,80,51,1
4476,56,72,51,1
4477,69,75,59,1
4478,63,81,64,1
4479,80,63,57,1
4480,66,66,55,1
4481,38,86,58,1
4482,53,72,43,1
4483,43,79,77,1
4484,47,78,57,1
4485,73,91,75,1
4486,47,76,67,1
4487,54,74,52,1
4488,64,91,76,1
4489,50,81,61,1
4490,53,73,66,1
4491,53,82,53,1
4492,50,79,53,1
4493,36,83,62,1
4494,34,77,61,1
4495,64,63,70,1
4496,67,67,74,1
4497,67,72,65,1
4498,48,91,64,1
4499,60,86,70,1
4500,60,64,51,1
4501,61,90,52,1
4502,43,73,52,1
4503,55,72,65,1
4504,57,75,57,1
4505,57,80,50,1
4506,57,84,60,1
4507,70,79,56,1
4508,67,84,38,1
4509,57,93,54,1
4510,66,82,71,1
4511,69,55,51,1
4512,47,71,72,1
4513,53,75,46,1
4514,57,70,46,1
4515,60,77,44,1
4516,72,81,64,1
4517,70,63,50,1
4518,67,68,41,1
4519,65,69,60,1
4520,40,73,46,1
4521,77,73,72,1
4522,51,71,57,1
4523,56,76,65,1
4524,58,72,61,1
4525,68,61,54,1
4526,65,76,58,1
4527,73,83,46,1
4528,80,75,46,1
4529,49,68,55,1
4530,50,80,76,1
4531,53,82,70,1
4532,64,79,51,1
4533,42,76,50,1
4534,60,66,51,1
4535,51,81,67,1
4536,60,76,65,1
4537,62,73,72,1
4538,33,55,57,1
4539,56,69,57,1
4540,64,78,50,1
4541,67,66,51,1
4542,65,74,57,1
4543,65,67,44,1
4544,60,68,53,1
4545,60,67,53,1
4546,72,81,50,1
4547,50,71,50,1
4548,46,74,61,1
4549,60,100,50,1
4550,60,72,50,1
4551,57,64,48,1
4552,36,94,59,1
4553,45,70,56,1
4554,60,81,77,1
4555,67,57,66,1
4556,50,85,61,1
4557,44,73,40,1
4558,48,78,58,1
4559,54,79,54,1
4560,65,66,45,1
4561,40,70,47,1
4562,56,71,60,1
4563,61,73,53,1
4564,71,60,53,1
4565,58,83,50,1
4566,51,88,48,1
4567,53,92,77,1
4568,57,85,33,1
4569,58,81,47,1
4570,65,65,60,1
4571,53,83,39,1
4572,72,86,64,1
4573,67,74,46,1
4574,42,79,56,1
4575,46,80,57,1
4576,54,81,41,1
4577,53,76,73,1
4578,48,73,45,1
4579,54,73,58,1
4580,59,75,58,1
4581,78,83,70,1
4582,61,78,56,1
4583,60,81,50,1
4584,72,74,53,1
4585,37,81,50,1
4586,54,81,55,1
4587,51,81,68,1
4588,63,81,44,1
4589,69,85,75,1
4590,80,73,36,1
4591,49,76,52,1
4592,70,75,41,1
4593,62,72,61,1
4594,67,68,45,1
4595,59,64,58,1
4596,45,85,51,1
4597,66,75,55,1
4598,56,84,68,1
4599,52,83,60,1
4600,38,82,55,1
4601,50,71,56,1
4602,51,68,54,1
4603,49,83,64,1
4604,56,80,73,1
4605,47,81,43,1
4606,54,88,61,1
4607,58,70,47,1
4608,62,83,50,1
4609,64,78,48,1
4610,54,62,57,1
4611,58,76,68,1
4612,49,64,61,1
4613,58,91,68,1
4614,50,80,44,1
4615,56,65,44,1
4616,53,71,50,1
4617,55,68,45,1
4618,55,63,55,1
4619,62,70,63,1
4620,62,77,51,1
4621,46,80,52,1
4622,61,74,51,1
4623,70,69,53,1
4624,61,66,54,1
4625,53,79,47,1
4626,57,76,56,1
4627,55,62,64,1
4628,38,66,59,1
4629,65,86,60,1
4630,57,88,60,1
4631,49,75,48,1
4632,64,78,52,1
4633,65,72,42,1
4634,61,77,64,1
4635,62,91,55,1
4636,64,77,45,1
4637,44,83,50,1
4638,76,84,20,1
4639,70,88,45,1
4640,50,78,46,1
4641,48,85,67,1
4642,47,80,58,1
4643,56,81,64,1
4644,60,86,50,1
4645,61,65,43,1
4646,51,74,68,1
4647,40,68,54,1
4648,62,67,46,1
4649,56,76,60,1
4650,59,85,58,1
4651,59,78,50,1
4652,57,70,43,1
4653,54,78,53,1
4654,55,76,58,1
4655,49,74,57,1
4656,49,89,55,1
4657,56,81,61,1
4658,61,83,53,1
4659,58,68,44,1
4660,61,81,37,1
4661,53,60,58,1
4662,63,75,53,1
4663,57,75,44,1
4664,55,90,55,1
4665,48,79,46,1
4666,66,72,55,1
4667,59,67,42,1
4668,52,64,55,1
4669,54,87,53,1
4670,62,65,57,1
4671,52,77,58,1
4672,60,65,52,1
4673,65,81,37,1
4674,60,74,44,1
4675,64,70,53,1
4676,52,72,53,1
4677,70,100,33,1
4678,57,69,68,1
4679,78,68,66,1
4680,51,72,36,1
4681,67,76,28,1
4682,78,58,54,1
4683,62,75,51,1
4684,44,84,55,1
4685,66,73,42,1
4686,74,67,61,1
4687,71,67,48,1
4688,57,89,42,1
4689,48,86,69,1
4690,62,79,47,1
4691,61,72,51,1
4692,67,82,50,1
4693,59,92,52,1
4694,55,76,48,1
4695,50,85,57,1
4696,58,83,50,1
4697,48,73,67,1
4698,47,79,66,1
4699,55,77,72,1
4700,78,66,63,1
4701,52,87,35,1
4702,56,94,57,1
4703,57,81,57,1
4704,59,75,39,1
4705,65,82,53,1
4706,35,80,66,1
4707,61,80,47,1
4708,49,90,51,1
4709,52,75,60,1
4710,53,69,58,1
4711,57,79,53,1
4712,55,73,58,1
4713,59,82,65,1
4714,55,70,46,1
4715,66,76,61,1
4716,53,68,64,1
4717,48,80,45,1
4718,58,79,55,1
4719,58,73,66,1
4720,39,89,55,1
4721,59,91,45,1
4722,47,85,44,1
4723,59,71,44,1
4724,49,75,47,1
4725,65,75,47,1
4726,61,84,37,1
4727,63,81,76,1
4728,62,71,52,1
4729,54,77,56,1
4730,61,80,62,1
4731,55,83,63,1
4732,36,81,65,1
4733,61,90,70,1
4734,58,82,60,1
4735,61,89,55,1
4736,45,65,64,1
4737,52,67,56,1
4738,62,74,60,1
4739,52,86,45,1
4740,59,70,47,1
4741,53,78,35,1
4742,62,93,65,1
4743,64,72,54,1
4744,52,93,50,1
4745,71,87,50,1
4746,48,82,54,1
4747,63,80,48,1
4748,39,70,73,1
4749,70,75,50,1
4750,73,70,54,1
4751,58,81,57,1
4752,51,90,65,1
4753,50,92,65,1
4754,51,74,60,1
4755,66,86,60,1
4756,40,71,50,1
4757,66,82,42,1
4758,60,67,44,1
4759,58,79,64,1
4760,53,79,48,1
4761,67,73,54,1
4762,60,92,23,1
4763,48,81,53,1
4764,56,66,55,1
4765,67,85,53,1
4766,61,85,57,1
4767,52,63,62,1
4768,52,70,70,1
4769,76,63,47,1
4770,74,73,78,1
4771,45,88,53,1
4772,62,65,53,1
4773,42,77,56,1
4774,60,68,60,1
4775,71,75,53,1
4776,59,61,53,1
4777,66,80,84,1
4778,53,66,44,1
4779,60,71,55,1
4780,70,59,59,1
4781,53,65,47,1
4782,51,58,70,1
4783,52,71,47,1
4784,40,95,57,1
4785,44,69,61,1
4786,39,57,53,1
4787,79,64,62,1
4788,67,72,47,1
4789,55,73,37,1
4790,50,76,55,1
4791,72,74,69,1
4792,76,65,55,1
4793,61,65,44,1
4794,55,72,50,1
4795,67,66,50,1
4796,68,70,87,1
4797,71,87,46,1
4798,46,64,54,1
4799,60,66,41,1
4800,57,67,41,1
4801,77,72,61,1
4802,83,68,72,1
4803,62,75,60,1
4804,42,90,62,1
4805,74,67,34,1
4806,60,67,43,1
4807,80,76,11,1
4808,55,68,55,1
4809,74,64,38,1
4810,70,70,32,1
4811,41,73,57,1
4812,48,71,47,1
4813,54,75,64,1
4814,53,66,58,1
4815,64,73,66,1
4816,54,72,58,1
4817,67,61,50,1
4818,59,69,48,1
4819,60,75,63,1
4820,63,71,50,1
4821,61,68,50,1
4822,53,85,62,1
4823,71,74,57,1
4824,62,75,35,1
4825,53,83,80,1
4826,51,60,56,1
4827,58,64,66,1
4828,74,75,80,1
4829,61,65,66,1
4830,63,52,62,1
4831,59,63,57,1
4832,49,71,52,1
4833,50,75,48,1
4834,41,84,66,1
4835,58,69,51,1
4836,62,59,57,1
4837,56,91,44,1
4838,75,56,61,1
4839,51,73,71,1
4840,62,64,48,1
4841,65,71,35,1
4842,70,71,61,1
4843,53,76,57,1
4844,56,73,50,1
4845,57,70,52,1
4846,65,63,62,1
4847,56,80,62,1
4848,44,81,57,1
4849,61,54,53,1
4850,67,62,65,1
4851,69,75,50,1
4852,53,76,57,1
4853,59,78,48,1
4854,66,59,61,1
4855,72,89,50,1
4856,45,80,80,1
4857,60,69,57,1
4858,60,69,52,1
4859,69,79,57,1
4860,57,63,46,1
4861,60,74,35,1
4862,56,74,48,1
4863,61,77,44,1
4864,61,80,45,1
4865,56,86,65,1
4866,60,72,58,1
4867,50,67,60,1
4868,65,68,47,1
4869,62,90,70,1
4870,44,74,48,1
4871,61,87,52,1
4872,53,90,61,1
4873,65,81,43,1
4874,58,64,66,1
4875,47,84,57,1
4876,48,70,58,1
4877,62,60,66,1
4878,53,72,55,1
4879,54,80,52,1
4880,46,60,65,1
4881,50,66,50,1
4882,56,61,48,1
4883,56,76,65,1
4884,58,82,55,1
4885,73,69,75,1
4886,67,81,38,1
4887,55,76,85,1
4888,48,79,61,1
4889,46,80,50,1
4890,50,80,47,1
4891,48,83,76,1
4892,55,77,54,1
4893,71,65,50,1
4894,57,68,71,1
4895,63,61,40,1
4896,47,79,66,1
4897,65,87,58,1
4898,52,66,43,1
4899,60,72,51,1
4900,61,68,61,1
4901,58,76,51,1
4902,61,77,57,1
4903,47,89,47,1
4904,57,81,56,1
4905,56,67,60,1
4906,51,78,52,1
4907,50,79,55,1
4908,48,65,56,1
4909,52,65,55,1
4910,51,88,44,1
4911,64,89,37,1
4912,61,68,62,1
4913,55,76,55,1
4914,49,85,51,1
4915,47,80,55,1
4916,69,72,59,1
4917,64,81,51,1
4918,47,88,46,1
4919,51,72,50,1
4920,64,78,50,1
4921,52,73,48,1
4922,54,76,40,1
4923,64,92,52,1
4924,55,79,48,1
4925,55,92,39,1
4926,51,68,66,1
4927,60,88,76,1
4928,48,81,69,1
4929,48,72,65,1
4930,52,85,44,1
4931,53,72,68,1
4932,56,66,54,1
4933,54,72,54,1
4934,71,64,40,1
4935,59,75,55,1
4936,65,86,67,1
4937,60,70,47,1
4938,51,85,60,1
4939,69,79,53,1
4940,67,69,44,1
4941,53,69,56,1
4942,72,79,36,1
4943,61,73,68,1
4944,75,71,42,1
4945,50,88,73,1
4946,62,75,77,1
4947,55,72,70,1
4948,72,74,47,1
4949,64,81,53,1
4950,66,73,65,1
4951,53,84,64,1
4952,62,66,50,1
4953,58,89,56,1
4954,54,82,39,1
4955,56,69,52,1
4956,59,96,50,1
4957,46,88,63,1
4958,57,73,48,1
4959,64,79,53,1
4960,66,66,55,1
4961,44,78,61,1
4962,52,62,65,1
4963,53,72,65,1
4964,56,84,50,1
4965,60,70,60,1
4966,62,93,33,1
4967,53,79,64,1
4968,57,89,61,1
4969,77,75,54,1
4970,66,90,54,1
4971,47,89,35,1
4972,55,85,75,1
4973,54,68,68,1
4974,49,77,50,1
4975,48,85,48,1
4976,59,80,51,1
4977,54,85,72,1
4978,59,75,65,1
4979,55,77,64,1
4980,40,85,52,1
4981,57,83,65,1
4982,60,76,49,1
4983,46,79,66,1
4984,63,74,63,1
4985,63,68,54,1
4986,65,82,66,1
4987,67,69,57,1
4988,53,79,62,1
4989,62,87,45,1
4990,72,80,52,1
4991,66,83,51,1
4992,54,82,41,1
4993,74,72,56,1
4994,60,82,54,1
4995,54,76,50,1
4996,46,68,62,1
4997,59,70,55,1
4998,58,81,60,1
4999,31,75,54,1
5000,63,77,65,1
5001,49,79,63,1
5002,64,84,47,1
5003,54,82,78,1
5004,70,71,46,1
5005,48,80,66,1
5006,65,71,65,1
5007,39,85,56,1
5008,64,85,33,1
5009,75,72,42,1
5010,45,73,50,1
5011,63,71,59,1
5012,61,81,58,1
5013,50,81,46,1
5014,40,80,52,1
5015,64,72,83,1
5016,52,70,51,1
5017,47,83,54,1
5018,76,80,54,1
5019,43,95,62,1
5020,40,59,65,1
5021,70,88,54,1
5022,45,87,58,1
5023,54,75,54,1
5024,47,80,47,1
5025,51,55,41,1
5026,62,81,65,1
5027,50,78,51,1
5028,71,80,58,1
5029,56,65,46,1
5030,57,62,58,1
5031,53,94,80,1
5032,78,67,40,1
5033,54,71,44,1
5034,48,83,69,1
5035,60,68,67,1
5036,57,84,50,1
5037,77,72,45,1
5038,62,60,41,1
5039,53,73,41,1
5040,62,84,63,1
5041,63,79,38,1
5042,48,93,39,1
5043,60,76,67,1
5044,76,69,53,1
5045,50,76,50,1
5046,52,75,41,1
5047,67,69,64,1
5048,41,83,48,1
5049,57,67,56,1
5050,48,67,51,1
5051,75,72,57,1
5052,64,68,50,1
5053,47,75,56,1
5054,62,74,43,1
5055,43,73,50,1
5056,59,88,64,1
5057,58,81,67,1
5058,63,75,53,1
5059,63,72,60,1
5060,52,76,50,1
5061,66,73,59,1
5062,68,79,70,1
5063,63,81,94,1
5064,65,76,60,1
5065,55,68,46,1
5066,49,83,42,1
5067,59,70,59,1
5068,50,69,47,1
5069,46,64,60,1
5070,53,66,56,1
5071,60,73,49,1
5072,47,77,57,1
5073,53,63,62,1
5074,59,68,48,1
5075,62,63,60,1
5076,63,70,45,1
5077,58,72,47,1
5078,54,76,40,1
5079,51,76,63,1
5080,57,82,52,1
5081,57,67,45,1
5082,51,68,57,1
5083,62,62,48,1
5084,54,84,58,1
5085,60,76,82,1
5086,59,75,54,1
5087,71,64,48,1
5088,52,77,50,1
5089,53,78,55,1
5090,50,72,51,1
5091,68,70,51,1
5092,63,77,60,1
5093,49,60,56,1
5094,58,82,52,1
5095,66,66,52,1
5096,55,61,63,1
5097,59,80,62,1
5098,55,69,39,1
5099,44,75,64,1
5100,57,73,52,1
5101,65,77,46,1
5102,44,70,52,1
5103,54,77,49,1
5104,69,78,48,1
5105,51,77,51,1
5106,69,67,58,1
5107,58,64,45,1
5108,64,58,54,1
5109,52,75,57,1
5110,58,80,78,1
5111,61,91,80,1
5112,63,65,45,1
5113,53,68,55,1
5114,56,72,40,1
5115,56,75,54,1
5116,65,77,57,1
5117,57,78,54,1
5118,57,62,73,1
5119,61,78,56,1
5120,53,75,74,1
5121,55,75,53,1
5122,68,75,77,1
5123,67,56,50,1
5124,41,80,57,1
5125,49,72,61,1
5126,66,70,66,1
5127,63,64,41,1
5128,52,67,39,1
5129,55,81,73,1
5130,76,69,57,1
5131,60,67,47,1
5132,55,77,44,1
5133,57,72,47,1
5134,55,62,56,1
5135,60,74,53,1
5136,50,77,61,1
5137,44,79,67,1
5138,63,71,43,1
5139,51,77,62,1
5140,47,71,71,1
5141,51,75,59,1
5142,41,75,63,1
5143,55,75,58,1
5144,68,67,78,1
5145,64,83,66,1
5146,56,78,52,1
5147,65,72,60,1
5148,60,71,56,1
5149,58,80,56,1
5150,65,71,47,1
5151,64,72,63,1
5152,56,73,49,1
5153,62,65,55,1
5154,72,60,54,1
5155,64,75,59,1
5156,52,71,43,1
5157,57,66,57,1
5158,57,71,52,1
5159,68,71,62,1
5160,60,67,57,1
5161,58,78,68,1
5162,60,65,40,1
5163,57,78,52,1
5164,62,54,53,1
5165,54,83,56,1
5166,64,75,40,1
5167,44,78,60,1
5168,54,56,49,1
5169,59,71,49,1
5170,52,74,39,1
5171,60,80,58,1
5172,56,68,51,1
5173,50,73,54,1
5174,67,69,46,1
5175,53,78,59,1
5176,36,70,64,1
5177,48,75,59,1
5178,69,67,62,1
5179,56,75,52,1
5180,64,60,51,1
5181,62,66,60,1
5182,44,70,61,1
5183,58,69,52,1
5184,66,70,55,1
5185,60,76,65,1
5186,60,70,45,1
5187,63,70,50,1
5188,60,66,56,1
5189,67,80,52,1
5190,60,74,61,1
5191,65,88,76,1
5192,70,72,66,1
5193,65,78,52,1
5194,50,100,68,1
5195,50,67,46,1
5196,60,78,50,1
5197,60,84,44,1
5198,50,74,55,1
5199,47,66,57,1
5200,61,68,53,1
5201,73,86,45,1
5202,55,75,65,1
5203,70,76,36,1
5204,52,80,48,1
5205,57,75,57,1
5206,59,70,40,1
5207,54,84,68,1
5208,62,78,58,1
5209,53,74,54,1
5210,51,80,78,1
5211,64,55,57,1
5212,58,62,55,1
5213,67,90,53,1
5214,63,76,44,1
5215,62,87,48,1
5216,73,74,58,1
5217,69,77,48,1
5218,58,70,59,1
5219,69,89,57,1
5220,76,84,60,1
5221,84,66,54,1
5222,63,67,53,1
5223,68,76,63,1
5224,69,83,52,1
5225,66,75,40,1
5226,52,80,46,1
5227,53,80,45,1
5228,65,76,50,1
5229,58,75,43,1
5230,65,92,76,1
5231,52,76,47,1
5232,48,87,41,1
5233,52,76,54,1
5234,65,74,45,1
5235,72,80,42,1
5236,66,71,43,1
5237,50,83,52,1
5238,80,76,55,1
5239,61,90,74,1
5240,57,71,51,1
5241,70,77,86,1
5242,60,85,55,1
5243,56,70,60,1
5244,72,74,50,1
5245,55,85,57,1
5246,60,75,43,1
5247,64,84,60,1
5248,58,78,50,1
5249,49,68,62,1
5250,54,72,53,1
5251,55,75,50,1
5252,40,81,58,1
5253,55,80,42,1
5254,51,73,58,1
5255,71,80,65,1
5256,56,68,61,1
5257,50,86,64,1
5258,53,77,59,1
5259,73,62,48,1
5260,70,94,62,1
5261,55,81,70,1
5262,53,87,62,1
5263,71,69,57,1
5264,59,75,50,1
5265,62,75,48,1
5266,63,75,45,1
5267,66,68,70,1
5268,60,75,50,1
5269,52,80,56,1
5270,64,87,43,1
5271,69,81,67,1
5272,56,77,62,1
5273,52,64,43,1
5274,56,83,53,1
5275,56,84,52,1
5276,57,80,71,1
5277,69,81,66,1
5278,63,81,74,1
5279,62,61,48,1
5280,65,66,54,1
5281,69,83,50,1
5282,69,70,47,1
5283,61,90,52,1
5284,60,86,62,1
5285,71,62,54,1
5286,63,70,60,1
5287,62,79,40,1
5288,65,80,58,1
5289,65,79,56,1
5290,59,87,57,1
5291,54,94,68,1
5292,62,68,57,1
5293,57,75,57,1
5294,64,75,61,1
5295,50,68,63,1
5296,53,75,65,1
5297,56,86,64,1
5298,72,73,72,1
5299,62,71,50,1
5300,71,74,62,1
5301,60,67,61,1
5302,73,84,44,1
5303,68,91,71,1
5304,65,75,56,1
5305,56,79,49,1
5306,63,74,65,1
5307,62,69,50,1
5308,67,84,56,1
5309,60,92,58,1
5310,62,72,57,1
5311,61,84,48,1
5312,53,73,58,1
5313,63,79,37,1
5314,65,74,59,1
5315,71,88,59,1
5316,56,88,56,1
5317,63,71,46,1
5318,52,93,43,1
5319,51,81,56,1
5320,74,82,66,1
5321,59,80,69,1
5322,72,69,45,1
5323,57,72,52,1
5324,64,78,60,1
5325,62,82,51,1
5326,70,76,43,1
5327,44,96,58,1
5328,64,92,60,1
5329,53,74,44,1
5330,72,77,62,1
5331,64,65,50,1
5332,63,72,44,1
5333,63,77,49,1
5334,61,89,53,1
5335,68,76,63,1
5336,57,78,63,1
5337,62,80,44,1
5338,60,75,46,1
5339,55,81,50,1
5340,60,83,53,1
5341,60,78,46,1
5342,57,81,51,1
5343,63,77,60,1
5344,58,71,42,1
5345,62,80,50,1
5346,52,68,46,1
5347,52,83,47,1
5348,56,70,54,1
5349,45,75,52,1
5350,59,75,54,1
5351,50,83,61,1
5352,59,75,51,1
5353,58,81,48,1
5354,70,71,44,1
5355,46,77,47,1
5356,55,77,52,1
5357,63,73,62,1
5358,56,88,56,1
5359,46,87,52,1
5360,50,77,48,1
5361,63,72,62,1
5362,47,77,65,1
