,winner_ht,loser_ht,w_#ServePoints,w_%1stServesIn,w_%1stWon,w_%2ndWon,w_#bpFaced,l_#ServePoints,l_%1stServesIn,l_%1stWon,l_%2ndWon,l_#bpFaced
171344,208.0,183.0,76.0,59,84,70,0.0,94.0,52,73,64,8.0
171345,193.0,183.0,45.0,71,96,69,0.0,72.0,48,60,56,6.0
171346,208.0,193.0,123.0,65,87,55,2.0,125.0,58,83,61,5.0
171347,185.0,178.0,124.0,65,67,58,9.0,108.0,71,62,45,14.0
171348,188.0,193.0,130.0,56,67,68,12.0,135.0,61,71,46,12.0
171349,188.0,185.0,129.0,55,88,64,3.0,169.0,72,70,42,16.0
171350,188.0,198.0,99.0,70,67,51,8.0,83.0,69,60,36,13.0
171351,180.0,190.0,84.0,69,67,65,5.0,99.0,75,58,25,18.0
171352,180.0,188.0,52.0,63,69,63,1.0,56.0,69,69,29,4.0
171353,188.0,196.0,123.0,66,58,39,17.0,111.0,71,53,37,14.0
171354,188.0,175.0,79.0,58,80,51,6.0,89.0,58,57,40,16.0
171355,188.0,188.0,151.0,64,63,51,20.0,153.0,64,68,40,13.0
171356,196.0,175.0,133.0,78,64,46,15.0,141.0,70,54,54,23.0
171357,188.0,193.0,165.0,61,73,54,13.0,157.0,49,79,56,10.0
171358,183.0,178.0,63.0,71,75,72,2.0,93.0,55,51,41,13.0
171359,183.0,180.0,71.0,73,84,52,4.0,98.0,64,58,42,10.0
171360,188.0,178.0,59.0,61,88,56,2.0,67.0,68,65,47,5.0
171361,180.0,180.0,108.0,62,61,47,9.0,88.0,62,43,51,12.0
171362,183.0,188.0,129.0,57,64,58,10.0,165.0,54,57,48,23.0
171363,188.0,,108.0,62,73,51,8.0,118.0,63,62,51,11.0
171364,193.0,185.0,114.0,58,77,53,12.0,140.0,60,65,51,16.0
171365,190.0,,73.0,60,88,51,5.0,83.0,68,71,53,9.0
171366,185.0,188.0,114.0,57,77,58,8.0,106.0,58,69,56,9.0
171367,188.0,190.0,95.0,48,73,67,6.0,82.0,47,74,51,5.0
171368,188.0,193.0,160.0,51,76,47,20.0,147.0,49,63,52,11.0
171369,190.0,190.0,77.0,66,80,50,2.0,81.0,45,83,47,2.0
171370,191.0,185.0,123.0,51,74,50,16.0,87.0,63,72,46,8.0
171371,185.0,183.0,182.0,54,76,43,22.0,130.0,60,70,48,19.0
171372,193.0,188.0,73.0,50,100,58,2.0,94.0,58,69,43,14.0
171373,183.0,185.0,144.0,61,78,43,13.0,172.0,61,69,41,25.0
171374,193.0,183.0,130.0,54,80,55,9.0,139.0,56,63,53,15.0
171375,191.0,,63.0,68,88,65,1.0,96.0,59,54,38,18.0
171376,189.0,190.0,59.0,62,81,50,5.0,64.0,45,44,25,10.0
171377,191.0,189.0,75.0,56,69,69,5.0,68.0,63,55,44,6.0
171378,,180.0,92.0,57,73,61,5.0,89.0,71,57,48,11.0
171379,185.0,193.0,98.0,65,87,44,7.0,102.0,48,75,49,13.0
171380,190.0,188.0,103.0,49,74,46,8.0,89.0,53,66,39,8.0
171381,185.0,190.0,139.0,63,67,62,9.0,102.0,60,79,50,8.0
171382,193.0,188.0,137.0,54,76,56,6.0,167.0,63,69,42,14.0
171383,193.0,188.0,88.0,56,80,55,3.0,102.0,62,64,44,12.0
171384,193.0,188.0,61.0,70,86,66,0.0,92.0,56,61,35,16.0
171385,193.0,,80.0,63,76,62,3.0,81.0,51,61,38,12.0
171386,193.0,,67.0,70,78,55,4.0,78.0,51,67,50,7.0
171387,183.0,196.0,91.0,54,86,70,5.0,98.0,68,67,58,7.0
171388,188.0,193.0,117.0,53,66,51,11.0,125.0,52,59,44,14.0
171389,183.0,193.0,56.0,64,83,75,2.0,88.0,54,56,37,16.0
171390,196.0,185.0,51.0,68,77,68,0.0,64.0,60,53,48,7.0
171391,174.0,183.0,144.0,68,62,54,20.0,156.0,67,64,39,21.0
171392,185.0,178.0,73.0,68,82,65,4.0,79.0,55,70,48,9.0
171393,174.0,178.0,75.0,76,68,44,4.0,99.0,56,46,48,16.0
171394,185.0,183.0,106.0,65,56,70,13.0,116.0,56,52,62,15.0
171395,183.0,,94.0,74,68,62,8.0,96.0,58,67,37,11.0
171396,,,107.0,61,71,58,11.0,110.0,47,59,48,10.0
171397,183.0,,118.0,78,60,44,17.0,96.0,52,52,39,12.0
171398,172.0,185.0,116.0,66,71,51,7.0,139.0,61,55,46,18.0
171399,190.0,188.0,170.0,57,68,61,14.0,180.0,62,67,55,15.0
171400,172.0,190.0,90.0,70,65,55,9.0,114.0,54,54,40,17.0
171401,183.0,,73.0,72,71,60,5.0,61.0,62,47,47,10.0
171402,175.0,,115.0,50,77,57,5.0,124.0,47,72,47,15.0
171403,175.0,,89.0,56,82,56,6.0,91.0,58,77,50,4.0
171404,183.0,,39.0,46,100,71,0.0,47.0,55,61,23,6.0
171405,196.0,188.0,174.0,62,69,60,9.0,158.0,53,85,47,10.0
171406,185.0,198.0,102.0,53,87,55,5.0,116.0,61,73,40,14.0
171407,188.0,198.0,124.0,72,81,64,4.0,155.0,62,69,56,10.0
171408,188.0,180.0,77.0,50,82,63,4.0,75.0,57,55,40,9.0
171409,180.0,190.0,73.0,67,71,70,1.0,87.0,67,50,39,11.0
171410,188.0,180.0,102.0,57,74,65,4.0,107.0,80,60,76,12.0
171411,180.0,190.0,81.0,50,80,50,8.0,83.0,56,70,52,10.0
171412,190.0,190.0,149.0,62,73,51,10.0,137.0,58,72,57,14.0
171413,178.0,185.0,68.0,60,82,55,7.0,74.0,79,47,26,11.0
171414,190.0,178.0,157.0,61,62,50,18.0,117.0,59,77,29,10.0
171415,185.0,198.0,138.0,53,77,48,13.0,142.0,56,68,51,13.0
171416,206.0,188.0,100.0,62,77,52,8.0,81.0,66,72,51,7.0
171417,198.0,206.0,101.0,56,84,61,1.0,89.0,77,84,45,6.0
171418,188.0,185.0,101.0,57,68,69,7.0,142.0,48,72,45,20.0
171419,183.0,196.0,52.0,75,79,69,0.0,76.0,47,72,42,9.0
171420,190.0,193.0,83.0,62,78,61,1.0,104.0,58,68,41,9.0
171421,188.0,174.0,64.0,68,75,40,10.0,63.0,55,62,35,9.0
171422,183.0,175.0,48.0,70,76,64,1.0,62.0,69,55,52,9.0
171423,185.0,183.0,111.0,59,72,48,7.0,96.0,65,66,48,5.0
171424,185.0,185.0,51.0,62,84,47,1.0,53.0,49,73,40,5.0
171425,183.0,170.0,46.0,50,82,65,3.0,65.0,55,61,41,11.0
171426,188.0,188.0,17.0,47,87,66,0.0,32.0,56,72,28,6.0
171427,196.0,185.0,56.0,71,85,50,0.0,72.0,65,65,44,7.0
171428,190.0,185.0,150.0,63,76,47,13.0,118.0,71,77,61,5.0
171429,183.0,196.0,94.0,56,79,53,3.0,102.0,59,75,58,9.0
171430,190.0,173.0,93.0,66,74,35,6.0,108.0,62,58,45,18.0
171431,183.0,183.0,69.0,65,62,58,9.0,54.0,50,48,44,8.0
171432,190.0,188.0,78.0,71,80,40,7.0,70.0,57,72,53,5.0
171433,188.0,183.0,50.0,57,79,61,3.0,55.0,56,48,58,10.0
171434,185.0,185.0,53.0,67,88,29,4.0,45.0,57,61,42,5.0
171435,183.0,188.0,97.0,62,75,50,6.0,109.0,62,73,36,14.0
171436,196.0,188.0,95.0,65,74,39,12.0,75.0,53,65,62,6.0
171437,183.0,190.0,128.0,66,63,55,10.0,93.0,55,76,51,7.0
171438,188.0,190.0,62.0,64,87,59,2.0,86.0,60,71,44,9.0
171439,190.0,183.0,55.0,60,100,86,0.0,67.0,73,69,77,1.0
171440,185.0,188.0,114.0,51,66,58,7.0,78.0,66,71,53,4.0
171441,196.0,183.0,74.0,66,73,56,8.0,65.0,61,62,64,5.0
171442,188.0,183.0,71.0,56,90,61,5.0,89.0,61,70,47,13.0
171443,190.0,185.0,88.0,56,84,47,5.0,86.0,53,65,55,5.0
171444,188.0,196.0,82.0,60,78,59,1.0,82.0,67,76,40,9.0
171445,188.0,190.0,56.0,51,86,62,1.0,64.0,60,79,36,6.0
171446,198.0,183.0,61.0,49,76,48,6.0,54.0,74,50,50,9.0
171447,190.0,183.0,91.0,57,61,58,8.0,82.0,70,65,45,2.0
171448,180.0,178.0,55.0,74,90,64,0.0,55.0,58,71,60,3.0
171449,186.0,175.0,64.0,46,83,58,3.0,60.0,63,60,54,6.0
171450,190.0,203.0,66.0,56,70,58,1.0,68.0,66,62,47,6.0
171451,185.0,196.0,74.0,68,70,56,6.0,75.0,54,70,44,7.0
171452,193.0,180.0,46.0,56,84,65,5.0,51.0,58,53,47,8.0
171453,178.0,193.0,54.0,59,84,50,1.0,56.0,75,64,42,6.0
171454,183.0,183.0,45.0,66,80,46,2.0,40.0,57,47,35,8.0
171455,185.0,183.0,55.0,61,82,42,3.0,61.0,50,61,53,7.0
171456,188.0,175.0,89.0,69,75,70,2.0,112.0,51,72,59,10.0
171457,183.0,191.0,76.0,69,64,56,9.0,75.0,56,66,45,10.0
171458,198.0,178.0,65.0,50,75,40,10.0,60.0,51,64,41,12.0
171459,180.0,190.0,62.0,69,79,57,4.0,60.0,63,60,68,4.0
171460,186.0,190.0,57.0,56,75,56,4.0,45.0,62,53,52,5.0
171461,185.0,190.0,89.0,62,69,48,10.0,105.0,59,59,41,18.0
171462,193.0,178.0,62.0,41,80,63,5.0,74.0,55,65,51,11.0
171463,183.0,183.0,52.0,50,76,57,1.0,50.0,52,65,37,9.0
171464,188.0,185.0,55.0,76,76,61,5.0,58.0,56,63,32,9.0
171465,183.0,185.0,74.0,77,70,58,3.0,51.0,54,71,65,3.0
171466,180.0,198.0,58.0,65,60,80,1.0,49.0,55,66,40,4.0
171467,185.0,186.0,99.0,72,73,59,2.0,114.0,57,68,47,7.0
171468,183.0,193.0,133.0,49,66,47,15.0,132.0,41,72,37,17.0
171469,188.0,183.0,82.0,74,62,47,7.0,70.0,64,62,40,8.0
171470,185.0,180.0,64.0,64,73,47,2.0,41.0,82,58,28,6.0
171471,183.0,188.0,92.0,48,82,61,5.0,113.0,62,69,54,14.0
171472,183.0,185.0,50.0,38,78,51,2.0,66.0,75,52,50,6.0
171473,188.0,183.0,64.0,65,78,40,2.0,59.0,61,63,43,5.0
171474,180.0,193.0,73.0,69,82,40,7.0,107.0,48,71,47,14.0
171475,190.0,,49.0,67,72,81,2.0,66.0,51,70,37,9.0
171476,185.0,181.0,117.0,58,65,52,8.0,97.0,49,77,46,7.0
171477,183.0,185.0,55.0,65,66,68,2.0,54.0,61,51,52,8.0
171478,198.0,,47.0,68,81,53,2.0,51.0,50,61,40,9.0
171479,172.0,183.0,87.0,64,67,64,7.0,106.0,45,70,48,9.0
171480,173.0,193.0,37.0,78,68,50,1.0,44.0,56,40,42,10.0
171481,180.0,193.0,103.0,47,71,48,8.0,119.0,66,64,57,12.0
171482,188.0,190.0,56.0,60,79,59,2.0,63.0,57,66,48,6.0
171483,188.0,191.0,64.0,50,75,62,1.0,63.0,55,65,50,9.0
171484,178.0,188.0,64.0,48,61,63,11.0,49.0,57,46,38,7.0
171485,185.0,188.0,71.0,64,82,56,4.0,70.0,61,76,48,5.0
171486,180.0,190.0,104.0,71,68,43,17.0,97.0,62,59,55,15.0
171487,188.0,185.0,31.0,58,94,84,0.0,37.0,54,40,29,8.0
171488,183.0,198.0,41.0,65,66,71,2.0,49.0,63,64,38,5.0
171489,172.0,173.0,70.0,81,64,53,6.0,87.0,59,59,37,15.0
171490,178.0,180.0,59.0,42,72,61,6.0,52.0,46,50,53,11.0
171491,188.0,188.0,43.0,69,86,46,1.0,57.0,52,70,37,4.0
171492,178.0,180.0,99.0,57,71,54,5.0,95.0,51,73,54,6.0
171493,180.0,185.0,108.0,71,66,54,13.0,80.0,68,67,44,6.0
171494,183.0,188.0,57.0,84,66,22,3.0,57.0,61,62,31,9.0
171495,178.0,172.0,80.0,51,58,51,12.0,68.0,63,53,28,12.0
171496,178.0,188.0,57.0,47,70,43,8.0,49.0,61,53,36,10.0
171497,180.0,183.0,62.0,69,58,52,7.0,86.0,74,57,27,17.0
171498,178.0,178.0,47.0,55,88,66,0.0,52.0,59,70,47,5.0
171499,178.0,180.0,46.0,67,80,73,0.0,45.0,71,56,46,6.0
171500,180.0,188.0,62.0,62,82,60,4.0,52.0,57,83,27,7.0
171501,173.0,193.0,78.0,55,81,54,4.0,90.0,56,78,46,4.0
171502,183.0,173.0,48.0,54,88,68,0.0,52.0,59,58,47,8.0
171503,183.0,183.0,81.0,51,73,58,6.0,96.0,55,60,48,7.0
171504,188.0,173.0,90.0,52,82,46,9.0,94.0,58,65,43,6.0
171505,170.0,183.0,36.0,61,81,64,1.0,42.0,47,55,31,8.0
171506,185.0,211.0,113.0,62,88,57,1.0,118.0,60,81,59,4.0
171507,193.0,175.0,74.0,54,80,47,7.0,64.0,57,72,44,6.0
171508,185.0,185.0,95.0,64,68,64,7.0,104.0,58,75,41,4.0
171509,175.0,178.0,39.0,53,85,77,0.0,43.0,46,65,39,8.0
171510,190.0,193.0,82.0,62,82,58,0.0,77.0,62,83,51,0.0
171511,183.0,185.0,89.0,55,83,50,7.0,86.0,53,84,45,9.0
171512,183.0,188.0,76.0,55,80,41,4.0,71.0,66,55,62,6.0
171513,183.0,185.0,55.0,69,78,64,3.0,76.0,38,75,40,5.0
171514,183.0,180.0,44.0,56,84,63,1.0,50.0,50,60,28,8.0
171515,183.0,175.0,64.0,53,76,60,2.0,58.0,51,56,57,6.0
171516,193.0,180.0,38.0,63,91,71,0.0,64.0,51,51,51,8.0
171517,188.0,173.0,58.0,50,68,68,3.0,77.0,58,68,34,10.0
171518,180.0,183.0,101.0,54,65,56,9.0,88.0,52,76,57,7.0
171519,198.0,183.0,101.0,52,86,60,3.0,102.0,48,71,62,7.0
171520,196.0,188.0,56.0,42,87,53,2.0,59.0,42,60,41,10.0
171521,193.0,170.0,51.0,54,85,56,0.0,48.0,62,66,33,5.0
171522,185.0,203.0,111.0,59,74,60,8.0,95.0,47,88,64,5.0
171523,198.0,193.0,63.0,60,86,44,5.0,61.0,50,70,43,7.0
171524,185.0,185.0,66.0,60,82,57,2.0,71.0,43,83,47,6.0
171525,175.0,188.0,68.0,58,67,53,5.0,59.0,57,64,52,9.0
171526,208.0,190.0,57.0,64,89,65,1.0,77.0,51,82,45,8.0
171527,193.0,183.0,75.0,64,79,48,3.0,66.0,51,64,62,4.0
171528,188.0,183.0,58.0,65,86,50,1.0,54.0,57,74,52,5.0
171529,183.0,193.0,76.0,61,72,48,6.0,127.0,59,61,42,22.0
171530,183.0,183.0,52.0,67,80,58,4.0,46.0,73,61,66,3.0
171531,206.0,183.0,50.0,76,92,50,1.0,55.0,50,71,51,4.0
171532,193.0,188.0,39.0,58,95,62,0.0,46.0,52,62,45,6.0
171533,198.0,180.0,61.0,57,85,42,4.0,68.0,52,66,46,7.0
171534,196.0,193.0,88.0,52,84,54,6.0,87.0,55,79,58,4.0
171535,198.0,185.0,78.0,55,79,57,3.0,109.0,48,73,42,12.0
171536,185.0,175.0,56.0,44,92,61,1.0,70.0,60,61,50,7.0
171537,208.0,193.0,59.0,66,94,60,0.0,60.0,58,77,64,2.0
171538,188.0,183.0,52.0,69,86,56,0.0,54.0,61,78,52,5.0
171539,206.0,183.0,56.0,66,89,63,0.0,63.0,46,72,58,6.0
171540,193.0,198.0,78.0,50,74,61,3.0,66.0,56,75,58,5.0
171541,198.0,196.0,44.0,65,86,53,2.0,54.0,37,50,44,6.0
171542,208.0,185.0,88.0,60,81,54,4.0,75.0,57,76,78,1.0
171543,188.0,206.0,100.0,65,78,62,6.0,80.0,68,85,76,0.0
171544,193.0,198.0,50.0,68,79,50,2.0,43.0,44,63,41,7.0
