,winner_ht,loser_ht,w_#ServePoints,w_%1stServesIn,w_%1stWon,w_%2ndWon,w_#bpFaced,l_#ServePoints,l_%1stServesIn,l_%1stWon,l_%2ndWon,l_#bpFaced
119317,188.0,180.0,96.0,51,79,59,5.0,106.0,51,70,56,7.0
119318,190.0,183.0,76.0,68,75,54,6.0,74.0,43,78,42,6.0
119319,175.0,173.0,55.0,63,71,60,1.0,56.0,58,60,30,11.0
119320,183.0,185.0,53.0,52,92,60,0.0,70.0,61,67,51,8.0
119321,180.0,185.0,98.0,67,59,43,11.0,92.0,50,73,39,9.0
119322,175.0,175.0,101.0,58,76,45,4.0,105.0,61,63,52,5.0
119323,185.0,185.0,60.0,51,90,48,3.0,69.0,65,62,50,12.0
119324,180.0,188.0,69.0,42,89,50,2.0,64.0,64,58,56,6.0
119325,193.0,193.0,68.0,63,69,68,7.0,87.0,49,76,31,11.0
119326,193.0,188.0,41.0,68,82,76,2.0,63.0,46,72,32,9.0
119327,175.0,180.0,111.0,58,69,47,13.0,110.0,50,69,47,8.0
119328,190.0,183.0,65.0,67,72,57,4.0,100.0,59,64,41,18.0
119329,201.0,180.0,49.0,61,76,63,3.0,55.0,58,62,34,5.0
119330,185.0,188.0,46.0,47,86,62,3.0,66.0,59,61,37,11.0
119331,190.0,196.0,87.0,55,79,56,4.0,78.0,60,76,41,5.0
119332,188.0,180.0,53.0,58,83,68,0.0,51.0,54,75,47,5.0
119333,190.0,188.0,62.0,72,82,64,2.0,91.0,46,66,53,6.0
119334,183.0,175.0,140.0,48,64,47,15.0,105.0,72,57,48,16.0
119335,175.0,180.0,112.0,61,62,53,9.0,96.0,67,61,58,12.0
119336,185.0,180.0,56.0,53,80,57,9.0,59.0,42,68,41,9.0
119337,193.0,193.0,53.0,54,86,41,3.0,57.0,56,59,32,7.0
119338,175.0,190.0,132.0,68,62,56,13.0,121.0,58,69,46,14.0
119339,201.0,185.0,79.0,59,74,40,6.0,47.0,51,58,43,6.0
119340,188.0,190.0,63.0,63,77,52,3.0,54.0,44,70,50,10.0
119341,190.0,183.0,85.0,74,73,27,7.0,70.0,50,68,48,9.0
119342,175.0,185.0,68.0,51,68,48,9.0,85.0,64,67,46,12.0
119343,175.0,193.0,60.0,68,73,47,8.0,48.0,50,54,41,11.0
119344,188.0,201.0,55.0,56,80,50,2.0,55.0,49,77,25,8.0
119345,175.0,190.0,82.0,62,70,51,10.0,90.0,80,59,50,12.0
119346,188.0,175.0,59.0,64,68,61,7.0,73.0,63,54,48,10.0
119347,188.0,175.0,87.0,57,82,32,7.0,102.0,52,70,37,10.0
119348,183.0,183.0,50.0,70,54,53,8.0,53.0,45,45,41,10.0
119349,188.0,178.0,74.0,47,74,56,5.0,71.0,64,47,52,9.0
119350,173.0,185.0,21.0,57,58,77,1.0,25.0,44,36,28,4.0
119351,188.0,185.0,36.0,47,82,78,0.0,64.0,56,52,35,11.0
119352,193.0,185.0,108.0,63,66,46,12.0,104.0,64,67,32,10.0
119353,170.0,178.0,102.0,64,62,36,14.0,94.0,56,50,46,16.0
119354,190.0,193.0,51.0,64,78,55,1.0,65.0,38,72,40,10.0
119355,183.0,180.0,70.0,81,59,46,6.0,83.0,67,57,44,9.0
119356,193.0,188.0,64.0,51,75,48,3.0,61.0,52,53,58,6.0
119357,175.0,190.0,56.0,64,69,55,4.0,70.0,55,64,38,7.0
119358,178.0,196.0,95.0,67,65,70,5.0,101.0,57,65,60,3.0
119359,175.0,188.0,60.0,46,71,46,7.0,53.0,50,62,30,10.0
119360,180.0,183.0,84.0,45,76,43,8.0,67.0,53,61,48,5.0
119361,185.0,183.0,79.0,60,66,48,10.0,76.0,56,62,45,10.0
119362,188.0,173.0,72.0,65,78,20,13.0,85.0,65,53,44,10.0
119363,180.0,196.0,80.0,57,80,52,6.0,65.0,52,79,61,4.0
119364,188.0,183.0,45.0,48,86,52,1.0,46.0,69,43,35,6.0
119365,173.0,188.0,52.0,61,78,55,4.0,59.0,52,67,39,9.0
119366,193.0,170.0,67.0,56,76,41,6.0,74.0,60,64,34,12.0
119367,183.0,190.0,66.0,69,56,55,6.0,61.0,55,64,29,8.0
119368,175.0,193.0,99.0,59,64,50,14.0,84.0,52,70,47,11.0
119369,178.0,175.0,39.0,64,76,71,0.0,56.0,55,54,36,10.0
119370,180.0,185.0,79.0,56,75,50,7.0,74.0,51,63,44,8.0
119371,180.0,188.0,52.0,71,89,26,1.0,68.0,51,60,42,10.0
119372,188.0,173.0,95.0,70,73,67,3.0,97.0,58,71,55,10.0
119373,183.0,193.0,68.0,66,66,60,3.0,113.0,60,66,37,15.0
119374,175.0,178.0,69.0,63,65,52,7.0,61.0,70,53,50,7.0
119375,180.0,180.0,57.0,52,83,55,1.0,59.0,62,56,63,8.0
119376,183.0,188.0,74.0,67,62,58,6.0,70.0,57,67,53,6.0
119377,180.0,175.0,68.0,50,85,58,3.0,71.0,61,59,55,7.0
119378,183.0,180.0,104.0,70,63,45,9.0,120.0,43,61,47,21.0
119379,190.0,183.0,82.0,69,71,60,9.0,102.0,77,59,60,16.0
119380,193.0,185.0,58.0,53,83,59,5.0,68.0,63,65,40,14.0
119381,190.0,180.0,36.0,69,84,63,1.0,47.0,57,66,30,8.0
119382,183.0,185.0,50.0,80,75,90,3.0,64.0,71,56,50,11.0
119383,188.0,185.0,41.0,56,78,55,4.0,41.0,53,54,36,5.0
119384,188.0,190.0,53.0,52,78,60,3.0,60.0,76,47,57,7.0
119385,180.0,193.0,120.0,56,66,40,17.0,120.0,64,67,34,19.0
119386,183.0,193.0,93.0,51,62,51,14.0,71.0,54,74,31,13.0
119387,180.0,201.0,86.0,53,78,62,6.0,83.0,57,68,48,8.0
119388,185.0,193.0,57.0,66,84,63,0.0,57.0,52,76,37,5.0
119389,188.0,190.0,39.0,79,80,75,4.0,48.0,66,53,25,9.0
119390,196.0,183.0,113.0,62,73,50,7.0,117.0,73,66,51,10.0
119391,183.0,190.0,95.0,58,75,56,2.0,91.0,50,86,33,7.0
119392,188.0,180.0,105.0,65,82,61,1.0,119.0,49,77,56,10.0
119393,196.0,173.0,57.0,68,76,61,1.0,47.0,63,73,47,7.0
119394,193.0,185.0,81.0,66,70,44,6.0,73.0,76,64,41,10.0
119395,190.0,193.0,92.0,58,75,68,1.0,124.0,48,75,51,11.0
119396,190.0,183.0,94.0,70,65,60,6.0,103.0,69,65,48,9.0
119397,188.0,188.0,92.0,42,76,58,5.0,103.0,65,58,69,12.0
119398,180.0,183.0,91.0,53,71,50,7.0,102.0,68,64,40,15.0
119399,180.0,185.0,82.0,47,66,62,5.0,106.0,64,70,44,13.0
119400,196.0,188.0,47.0,72,79,53,1.0,36.0,66,62,33,5.0
119401,183.0,188.0,51.0,50,73,64,3.0,49.0,57,57,38,6.0
119403,190.0,190.0,73.0,65,72,56,6.0,55.0,58,68,52,3.0
119404,188.0,180.0,50.0,54,88,65,2.0,59.0,74,63,40,11.0
119405,196.0,180.0,70.0,61,69,55,5.0,66.0,65,55,47,12.0
119406,183.0,193.0,98.0,61,65,57,10.0,101.0,50,68,44,14.0
119407,188.0,190.0,103.0,57,71,36,12.0,78.0,58,76,56,3.0
119408,183.0,196.0,54.0,57,87,34,1.0,71.0,70,52,47,13.0
119409,183.0,188.0,53.0,62,75,65,1.0,60.0,65,64,47,5.0
119410,185.0,185.0,102.0,61,71,56,12.0,78.0,56,77,50,7.0
119411,180.0,183.0,92.0,51,74,55,11.0,97.0,55,61,46,16.0
119412,180.0,201.0,31.0,70,90,44,0.0,36.0,44,75,35,4.0
119413,193.0,185.0,61.0,55,82,55,4.0,68.0,48,66,54,8.0
119414,190.0,,70.0,48,85,61,4.0,97.0,51,64,55,8.0
119415,190.0,190.0,53.0,66,82,44,3.0,58.0,43,68,39,5.0
119416,190.0,185.0,55.0,56,87,54,2.0,52.0,44,78,44,4.0
119417,196.0,183.0,69.0,57,72,55,4.0,78.0,44,60,55,8.0
119418,178.0,178.0,81.0,50,68,50,11.0,59.0,57,55,32,7.0
119419,196.0,190.0,60.0,53,84,60,3.0,53.0,60,62,66,5.0
119420,193.0,180.0,64.0,62,92,58,4.0,70.0,52,72,60,2.0
119421,193.0,180.0,59.0,59,77,50,4.0,55.0,47,69,34,6.0
119422,188.0,188.0,59.0,54,81,70,5.0,63.0,47,73,42,5.0
119423,175.0,180.0,44.0,72,75,50,1.0,48.0,60,51,36,7.0
119424,183.0,185.0,104.0,59,70,69,2.0,111.0,45,68,58,9.0
119425,175.0,183.0,40.0,50,75,60,3.0,42.0,54,39,21,12.0
119426,188.0,180.0,99.0,52,78,51,5.0,99.0,50,84,30,10.0
119427,190.0,183.0,88.0,57,68,59,8.0,90.0,46,76,52,7.0
119428,193.0,180.0,92.0,65,83,43,9.0,85.0,68,81,40,3.0
119429,196.0,188.0,65.0,66,76,59,5.0,64.0,48,58,54,5.0
119430,198.0,185.0,85.0,60,84,35,4.0,66.0,43,82,40,4.0
119431,185.0,180.0,113.0,54,67,47,17.0,123.0,45,71,37,19.0
119432,190.0,170.0,82.0,46,84,59,3.0,138.0,53,66,46,17.0
119433,193.0,178.0,79.0,58,67,60,5.0,84.0,55,76,40,4.0
119434,180.0,185.0,93.0,51,75,60,10.0,87.0,62,59,57,8.0
119435,180.0,180.0,72.0,48,82,54,6.0,93.0,69,64,35,13.0
119436,193.0,190.0,93.0,54,90,54,5.0,83.0,51,86,60,3.0
119437,193.0,190.0,107.0,52,73,56,7.0,110.0,50,80,38,8.0
119438,188.0,190.0,92.0,56,78,57,5.0,84.0,50,85,38,6.0
119439,196.0,178.0,70.0,54,84,59,2.0,73.0,54,72,48,6.0
119440,193.0,196.0,57.0,54,83,57,3.0,61.0,57,74,38,9.0
119441,180.0,193.0,54.0,55,86,66,0.0,63.0,50,84,45,7.0
119442,188.0,190.0,99.0,55,76,36,12.0,99.0,46,76,43,6.0
119443,183.0,175.0,69.0,59,75,57,3.0,90.0,68,66,35,9.0
119444,188.0,175.0,127.0,54,75,39,16.0,122.0,50,72,55,16.0
119445,190.0,188.0,55.0,80,84,54,1.0,51.0,64,75,44,4.0
119446,193.0,185.0,82.0,60,82,40,6.0,54.0,55,80,66,4.0
119447,196.0,198.0,98.0,61,78,63,5.0,73.0,63,80,48,5.0
119448,190.0,185.0,32.0,50,75,68,1.0,37.0,64,50,30,9.0
119449,185.0,193.0,87.0,55,89,61,2.0,97.0,51,82,46,6.0
119450,180.0,180.0,46.0,47,72,41,5.0,39.0,61,75,40,2.0
119451,193.0,193.0,116.0,56,80,49,8.0,119.0,51,80,48,10.0
119452,188.0,196.0,80.0,46,86,48,7.0,65.0,63,80,45,4.0
119453,180.0,193.0,60.0,58,74,68,2.0,63.0,57,80,40,6.0
119454,183.0,188.0,114.0,64,60,57,10.0,103.0,53,76,43,10.0
119455,188.0,190.0,84.0,54,84,47,4.0,94.0,58,72,43,9.0
119456,193.0,196.0,78.0,61,79,33,5.0,82.0,68,71,46,7.0
119457,185.0,190.0,56.0,80,77,72,0.0,45.0,71,78,46,2.0
119458,180.0,193.0,82.0,43,77,54,10.0,90.0,51,73,50,11.0
119459,180.0,188.0,59.0,49,79,53,3.0,62.0,46,68,48,5.0
119460,188.0,183.0,88.0,59,65,52,7.0,107.0,56,63,53,8.0
119461,185.0,193.0,48.0,56,92,71,0.0,66.0,62,65,56,9.0
119462,180.0,180.0,57.0,40,78,64,4.0,63.0,47,73,30,8.0
119463,185.0,188.0,85.0,70,76,44,8.0,60.0,50,86,43,5.0
119464,180.0,185.0,63.0,50,78,54,1.0,54.0,64,65,57,3.0
119465,180.0,185.0,96.0,52,78,54,10.0,116.0,54,68,49,10.0
119466,183.0,188.0,88.0,50,75,50,8.0,99.0,70,62,41,13.0
119467,183.0,180.0,39.0,76,80,33,3.0,55.0,52,58,26,14.0
119468,175.0,183.0,109.0,49,83,45,6.0,106.0,64,66,52,12.0
119469,175.0,183.0,65.0,49,81,63,1.0,70.0,51,69,52,4.0
119471,201.0,185.0,42.0,47,90,59,3.0,65.0,47,67,35,11.0
119472,183.0,180.0,73.0,45,81,45,5.0,81.0,40,63,47,15.0
119473,183.0,193.0,94.0,64,63,66,7.0,86.0,62,70,40,9.0
119474,190.0,175.0,70.0,77,72,50,8.0,54.0,55,66,45,3.0
119475,188.0,183.0,87.0,49,69,61,11.0,79.0,50,72,53,9.0
119476,180.0,175.0,85.0,45,64,67,4.0,87.0,56,63,60,6.0
119477,180.0,185.0,62.0,53,69,51,9.0,63.0,61,58,37,8.0
119478,180.0,180.0,43.0,69,73,69,3.0,56.0,35,50,44,6.0
119479,175.0,188.0,58.0,51,80,57,5.0,71.0,40,75,38,7.0
119480,183.0,190.0,70.0,57,87,53,3.0,65.0,70,76,42,1.0
119481,180.0,183.0,41.0,63,88,60,0.0,47.0,51,66,39,6.0
119482,175.0,183.0,69.0,56,74,50,7.0,66.0,71,63,36,8.0
119483,175.0,196.0,86.0,56,71,54,7.0,98.0,63,66,36,13.0
119484,183.0,201.0,69.0,55,71,58,2.0,54.0,59,71,50,6.0
119485,190.0,183.0,71.0,60,67,46,7.0,74.0,52,58,45,10.0
119486,180.0,188.0,69.0,50,68,58,2.0,64.0,54,62,51,9.0
119487,180.0,180.0,39.0,53,71,77,2.0,45.0,48,59,26,9.0
119488,175.0,183.0,51.0,49,68,65,7.0,59.0,44,50,45,12.0
119489,180.0,175.0,101.0,57,81,48,13.0,92.0,45,66,44,8.0
119490,175.0,183.0,42.0,54,73,63,4.0,45.0,55,64,25,9.0
119491,180.0,190.0,59.0,55,66,53,5.0,63.0,55,51,42,13.0
119492,180.0,175.0,79.0,62,69,60,5.0,62.0,53,72,55,3.0
119493,180.0,175.0,75.0,36,85,56,4.0,92.0,65,65,43,17.0
119494,180.0,180.0,62.0,58,63,65,6.0,56.0,46,73,40,7.0
119495,180.0,180.0,44.0,56,84,68,1.0,52.0,61,59,35,7.0
119496,188.0,173.0,41.0,60,80,75,0.0,47.0,44,57,38,5.0
119497,188.0,178.0,111.0,58,73,52,15.0,97.0,65,71,48,9.0
119498,193.0,193.0,61.0,55,76,59,5.0,60.0,56,58,53,6.0
119499,190.0,180.0,40.0,47,84,76,0.0,47.0,42,65,37,6.0
119500,183.0,185.0,69.0,56,74,63,5.0,83.0,39,75,40,11.0
119501,183.0,185.0,44.0,72,87,50,1.0,51.0,52,62,33,10.0
119502,196.0,190.0,81.0,64,75,55,6.0,84.0,65,69,55,7.0
119503,185.0,185.0,103.0,42,90,54,6.0,124.0,40,82,51,11.0
119504,185.0,173.0,89.0,46,85,47,5.0,107.0,47,70,44,13.0
119505,,178.0,49.0,61,73,68,5.0,67.0,38,69,39,8.0
119506,185.0,196.0,101.0,63,75,45,7.0,79.0,64,74,60,2.0
119507,178.0,173.0,50.0,57,82,52,2.0,64.0,37,66,45,7.0
119508,180.0,190.0,71.0,57,85,43,6.0,63.0,52,75,43,8.0
119509,190.0,183.0,95.0,65,67,54,5.0,91.0,63,68,30,7.0
119510,178.0,170.0,94.0,54,82,58,4.0,105.0,73,66,60,14.0
119511,180.0,185.0,65.0,49,78,57,4.0,99.0,60,61,48,8.0
119512,188.0,188.0,99.0,44,61,43,11.0,92.0,58,68,42,8.0
119513,190.0,193.0,47.0,51,95,73,0.0,52.0,71,59,80,5.0
119514,183.0,183.0,56.0,73,80,53,1.0,64.0,46,76,35,11.0
119516,185.0,,59.0,54,81,59,2.0,64.0,56,63,42,7.0
119517,178.0,185.0,47.0,59,67,57,7.0,49.0,42,57,32,9.0
119518,190.0,180.0,68.0,63,79,64,2.0,58.0,46,88,48,1.0
119519,178.0,180.0,50.0,56,89,50,4.0,56.0,46,57,50,6.0
119520,190.0,188.0,47.0,48,100,58,1.0,52.0,61,62,45,4.0
119521,196.0,183.0,66.0,69,76,60,2.0,58.0,70,65,58,6.0
119522,185.0,178.0,83.0,57,72,60,4.0,109.0,68,65,44,10.0
119523,190.0,178.0,46.0,60,89,66,0.0,62.0,50,70,45,5.0
119524,196.0,190.0,103.0,67,81,69,0.0,96.0,59,94,58,1.0
119525,190.0,185.0,87.0,60,75,50,10.0,55.0,60,72,45,4.0
119526,196.0,190.0,59.0,79,91,50,0.0,53.0,56,86,60,1.0
119527,188.0,170.0,34.0,50,82,82,0.0,50.0,66,45,47,8.0
119528,185.0,173.0,52.0,46,83,64,0.0,41.0,51,71,45,4.0
119529,183.0,188.0,62.0,61,68,54,5.0,49.0,65,56,52,5.0
119530,188.0,196.0,56.0,62,68,57,2.0,46.0,60,53,27,6.0
119531,193.0,190.0,49.0,69,70,53,2.0,54.0,72,58,20,9.0
119532,188.0,175.0,57.0,66,76,47,4.0,67.0,80,59,38,14.0
119533,193.0,190.0,68.0,44,63,55,9.0,64.0,43,64,36,12.0
119534,188.0,180.0,61.0,44,74,50,7.0,57.0,56,68,32,11.0
119535,180.0,180.0,89.0,57,66,57,6.0,68.0,64,70,45,6.0
119536,188.0,,50.0,50,64,60,5.0,51.0,41,42,36,8.0
119537,183.0,180.0,81.0,61,57,61,13.0,84.0,54,58,42,12.0
119538,180.0,175.0,74.0,56,64,50,6.0,64.0,53,73,23,11.0
119539,185.0,185.0,62.0,59,78,64,3.0,69.0,60,64,48,7.0
119541,178.0,198.0,21.0,66,85,57,0.0,26.0,30,75,38,2.0
119542,183.0,190.0,95.0,55,69,47,11.0,92.0,50,50,58,15.0
119543,188.0,185.0,48.0,62,86,55,3.0,63.0,50,65,35,16.0
119544,183.0,188.0,60.0,63,65,50,4.0,56.0,75,57,35,8.0
119545,193.0,188.0,96.0,56,68,45,8.0,103.0,51,60,52,14.0
119546,188.0,193.0,69.0,55,65,51,6.0,61.0,50,67,30,8.0
119547,180.0,188.0,66.0,63,73,37,7.0,73.0,53,56,44,13.0
119548,180.0,183.0,62.0,45,75,61,4.0,73.0,56,53,40,11.0
119549,185.0,185.0,87.0,63,72,56,6.0,85.0,61,76,51,7.0
119550,178.0,183.0,75.0,65,63,57,7.0,61.0,49,66,41,7.0
119551,188.0,183.0,46.0,41,73,81,0.0,54.0,55,63,54,7.0
119552,193.0,188.0,74.0,43,84,54,5.0,54.0,51,60,57,6.0
119553,180.0,180.0,43.0,62,88,62,1.0,64.0,56,52,39,7.0
119554,178.0,185.0,102.0,60,67,55,6.0,112.0,61,59,46,17.0
119555,188.0,193.0,54.0,66,80,50,5.0,65.0,52,70,29,8.0
119556,180.0,178.0,132.0,72,58,52,16.0,139.0,66,50,58,13.0
119557,188.0,180.0,65.0,60,82,50,5.0,62.0,58,66,38,5.0
119558,188.0,188.0,68.0,73,76,50,4.0,63.0,63,70,43,9.0
119559,180.0,180.0,63.0,60,71,60,4.0,64.0,50,71,50,8.0
119560,188.0,180.0,51.0,60,87,60,1.0,56.0,58,66,34,8.0
119561,185.0,185.0,62.0,56,74,55,3.0,69.0,62,60,46,12.0
119562,185.0,185.0,39.0,61,91,66,0.0,52.0,61,62,40,5.0
119563,185.0,190.0,56.0,66,86,68,0.0,64.0,37,79,55,5.0
119564,175.0,180.0,41.0,80,81,37,0.0,57.0,68,41,50,7.0
119565,183.0,178.0,64.0,50,75,65,3.0,89.0,67,65,44,12.0
119566,196.0,178.0,41.0,68,78,76,0.0,51.0,45,65,50,4.0
119567,190.0,196.0,100.0,68,77,37,8.0,103.0,51,83,38,9.0
119568,185.0,190.0,96.0,54,75,52,6.0,76.0,52,80,47,7.0
119569,185.0,183.0,54.0,74,65,57,3.0,58.0,68,55,38,8.0
119570,185.0,185.0,97.0,72,68,44,8.0,115.0,56,63,52,17.0
119571,193.0,188.0,60.0,58,80,52,1.0,59.0,59,68,37,6.0
119572,183.0,183.0,67.0,49,87,52,2.0,78.0,76,70,27,7.0
119573,178.0,183.0,95.0,76,69,45,8.0,93.0,53,72,46,4.0
119574,188.0,180.0,52.0,63,69,73,3.0,65.0,66,58,40,7.0
119575,188.0,185.0,46.0,56,80,65,1.0,48.0,64,51,47,8.0
119576,185.0,185.0,65.0,61,77,64,3.0,67.0,64,76,37,3.0
119577,183.0,175.0,35.0,60,80,71,1.0,44.0,63,57,31,7.0
119578,190.0,196.0,94.0,60,80,48,4.0,78.0,55,81,54,2.0
119579,185.0,185.0,105.0,57,75,57,14.0,114.0,71,68,53,3.0
119580,193.0,185.0,72.0,58,85,43,4.0,76.0,67,60,48,3.0
119581,178.0,183.0,66.0,75,80,50,3.0,67.0,59,75,37,6.0
119582,188.0,188.0,98.0,74,68,64,9.0,117.0,58,70,44,8.0
119583,185.0,183.0,79.0,73,74,61,6.0,75.0,61,65,55,6.0
119584,185.0,190.0,65.0,58,73,77,1.0,79.0,58,78,42,9.0
119585,178.0,193.0,87.0,72,50,45,11.0,75.0,57,58,34,10.0
119586,185.0,188.0,49.0,69,76,66,1.0,63.0,65,63,54,6.0
119587,185.0,178.0,68.0,70,66,45,5.0,61.0,68,54,47,10.0
119588,185.0,185.0,118.0,69,86,52,0.0,121.0,57,65,64,6.0
119589,188.0,185.0,59.0,52,77,46,8.0,52.0,53,46,45,10.0
119590,180.0,183.0,79.0,59,65,62,5.0,99.0,46,56,54,9.0
119591,173.0,175.0,59.0,83,65,50,6.0,51.0,68,60,31,4.0
119592,185.0,185.0,56.0,69,74,70,3.0,73.0,50,75,25,6.0
119593,185.0,188.0,62.0,48,76,56,6.0,58.0,55,56,46,7.0
119594,188.0,178.0,43.0,58,72,61,6.0,50.0,56,39,45,10.0
119595,185.0,188.0,84.0,55,72,51,7.0,75.0,54,65,58,8.0
119596,183.0,178.0,58.0,58,76,37,6.0,37.0,78,72,25,3.0
119597,175.0,190.0,35.0,57,90,66,0.0,40.0,45,44,36,8.0
119598,183.0,190.0,78.0,66,76,69,5.0,80.0,45,91,50,2.0
119599,180.0,180.0,75.0,61,73,62,2.0,71.0,53,71,48,5.0
119600,183.0,170.0,59.0,47,89,45,4.0,52.0,73,50,50,6.0
119601,188.0,175.0,69.0,59,73,35,7.0,86.0,68,61,33,9.0
119602,188.0,190.0,44.0,54,83,55,1.0,46.0,63,34,52,7.0
119603,193.0,,61.0,55,88,40,4.0,59.0,76,62,35,5.0
119604,183.0,185.0,69.0,62,83,38,3.0,71.0,40,75,33,10.0
119605,190.0,188.0,87.0,54,74,47,12.0,90.0,57,71,47,8.0
119606,180.0,185.0,68.0,48,69,57,5.0,100.0,73,54,55,12.0
119607,183.0,173.0,48.0,64,67,64,2.0,61.0,72,50,29,10.0
119608,180.0,185.0,97.0,54,66,52,16.0,91.0,48,61,51,13.0
119609,188.0,185.0,57.0,54,80,50,2.0,48.0,66,65,25,4.0
119610,188.0,180.0,49.0,67,78,62,3.0,65.0,53,65,30,10.0
119611,185.0,190.0,95.0,57,60,50,8.0,85.0,56,70,32,7.0
119612,183.0,180.0,60.0,51,87,58,2.0,55.0,54,66,56,5.0
119613,175.0,193.0,62.0,77,77,57,3.0,51.0,54,89,56,1.0
119614,183.0,188.0,85.0,54,65,51,7.0,80.0,45,77,34,7.0
119615,183.0,180.0,63.0,52,75,40,7.0,45.0,46,71,16,8.0
119616,183.0,193.0,65.0,43,89,54,4.0,79.0,44,74,45,7.0
119617,188.0,180.0,136.0,68,66,48,12.0,146.0,74,65,45,13.0
119618,183.0,188.0,59.0,50,83,55,2.0,46.0,60,53,55,5.0
119619,193.0,180.0,48.0,60,82,68,2.0,72.0,44,68,47,8.0
119620,180.0,183.0,48.0,43,85,62,2.0,41.0,51,71,25,4.0
119621,190.0,180.0,98.0,56,74,34,9.0,78.0,47,70,31,11.0
119622,183.0,180.0,78.0,64,84,50,3.0,82.0,50,82,36,9.0
119623,188.0,188.0,47.0,57,88,55,4.0,33.0,45,46,22,6.0
119624,183.0,185.0,52.0,46,75,57,3.0,53.0,50,70,38,5.0
119625,175.0,183.0,73.0,68,70,60,4.0,98.0,60,61,43,15.0
119626,183.0,183.0,40.0,47,94,52,0.0,33.0,54,44,20,6.0
119627,183.0,188.0,60.0,46,67,65,4.0,52.0,67,54,52,9.0
119628,180.0,193.0,88.0,44,76,53,6.0,89.0,50,77,40,12.0
119629,183.0,190.0,49.0,57,85,61,1.0,58.0,50,75,41,8.0
119630,183.0,188.0,107.0,51,72,67,11.0,101.0,49,86,52,5.0
119631,183.0,175.0,105.0,56,67,41,12.0,99.0,73,58,46,13.0
119632,180.0,183.0,48.0,43,80,55,1.0,45.0,51,56,22,11.0
119633,183.0,183.0,63.0,58,83,53,1.0,73.0,69,60,54,10.0
119634,180.0,183.0,100.0,44,72,51,8.0,94.0,42,75,44,13.0
119635,180.0,183.0,52.0,38,85,68,1.0,77.0,58,51,40,14.0
119636,188.0,175.0,47.0,65,83,56,1.0,51.0,52,66,33,6.0
119637,183.0,183.0,94.0,54,66,60,8.0,78.0,61,66,50,5.0
119638,180.0,188.0,47.0,57,85,45,1.0,49.0,53,50,30,8.0
119639,190.0,183.0,61.0,67,73,65,5.0,56.0,48,77,44,3.0
119640,193.0,183.0,56.0,60,79,59,2.0,72.0,72,63,45,8.0
119641,188.0,183.0,56.0,44,68,61,7.0,53.0,83,43,55,12.0
119642,196.0,190.0,44.0,45,85,66,1.0,55.0,72,55,33,4.0
119643,183.0,183.0,53.0,67,69,76,5.0,42.0,57,58,33,4.0
119644,188.0,183.0,82.0,64,75,48,7.0,97.0,69,64,50,10.0
119645,180.0,180.0,89.0,48,72,52,8.0,88.0,72,60,33,9.0
119646,180.0,175.0,109.0,44,73,43,16.0,99.0,57,63,42,12.0
119647,193.0,183.0,97.0,46,75,50,7.0,90.0,62,66,50,7.0
119648,185.0,193.0,79.0,69,65,54,7.0,72.0,62,68,55,3.0
119649,175.0,173.0,66.0,43,65,72,5.0,49.0,65,56,58,6.0
119650,193.0,185.0,52.0,55,75,56,3.0,63.0,63,62,30,11.0
119651,190.0,190.0,123.0,56,75,57,7.0,115.0,53,82,50,3.0
119652,183.0,188.0,110.0,59,67,64,6.0,83.0,62,84,64,1.0
119653,190.0,180.0,52.0,63,66,68,6.0,59.0,59,60,29,11.0
119654,188.0,193.0,47.0,51,87,60,2.0,41.0,68,57,30,5.0
119655,183.0,196.0,83.0,62,73,58,2.0,75.0,62,76,46,6.0
119656,180.0,188.0,41.0,53,86,52,1.0,49.0,55,74,40,9.0
119657,180.0,193.0,86.0,58,76,61,7.0,73.0,49,88,51,2.0
119658,175.0,185.0,107.0,59,64,51,11.0,100.0,62,56,55,13.0
119659,193.0,190.0,123.0,54,55,58,13.0,136.0,58,64,36,21.0
119660,183.0,190.0,46.0,47,77,75,2.0,54.0,62,55,35,11.0
119661,183.0,188.0,53.0,66,77,44,5.0,60.0,48,68,25,11.0
119662,180.0,180.0,52.0,50,61,69,2.0,56.0,46,73,33,10.0
119663,175.0,193.0,64.0,54,71,51,2.0,95.0,58,57,41,16.0
119664,183.0,183.0,94.0,58,69,48,8.0,97.0,52,64,56,12.0
119665,175.0,180.0,44.0,79,85,66,0.0,63.0,60,65,32,6.0
119666,183.0,175.0,130.0,48,71,56,9.0,168.0,65,57,55,18.0
119667,180.0,185.0,42.0,80,85,62,0.0,42.0,59,56,41,4.0
119668,183.0,183.0,47.0,61,75,72,3.0,58.0,60,57,34,7.0
119669,168.0,175.0,70.0,57,77,53,2.0,74.0,43,62,40,7.0
119670,190.0,185.0,53.0,49,80,66,3.0,51.0,68,65,37,10.0
119671,173.0,180.0,97.0,55,72,46,11.0,88.0,60,67,45,4.0
119672,170.0,180.0,95.0,61,65,54,7.0,72.0,80,65,50,4.0
119673,190.0,173.0,43.0,86,72,66,3.0,48.0,81,53,0,6.0
119674,188.0,175.0,49.0,61,76,63,3.0,59.0,77,50,53,10.0
119675,175.0,180.0,69.0,75,67,29,6.0,53.0,79,50,27,7.0
119676,188.0,178.0,99.0,60,75,53,5.0,89.0,66,69,33,12.0
