,Year,tourney_name,%1stWon,Player
103,2000,Roland Garros,72.0,Roger Federer
104,2000,Wimbledon,64.0,Roger Federer
105,2001,Australian Open,66.66666666666667,Roger Federer
106,2001,Roland Garros,72.0,Roger Federer
107,2001,Wimbledon,75.8,Roger Federer
108,2002,Australian Open,78.5,Roger Federer
109,2002,Roland Garros,67.0,Roger Federer
110,2002,Wimbledon,76.0,Roger Federer
111,2003,Australian Open,75.0,Roger Federer
112,2003,Roland Garros,76.0,Roger Federer
113,2003,Wimbledon,77.85714285714286,Roger Federer
114,2004,Australian Open,77.57142857142857,Roger Federer
115,2004,Roland Garros,78.0,Roger Federer
116,2004,Wimbledon,77.28571428571429,Roger Federer
117,2005,Australian Open,77.33333333333333,Roger Federer
118,2005,Roland Garros,73.33333333333333,Roger Federer
119,2005,Wimbledon,80.28571428571429,Roger Federer
120,2006,Australian Open,75.42857142857143,Roger Federer
121,2006,Roland Garros,73.71428571428571,Roger Federer
122,2006,Wimbledon,79.42857142857143,Roger Federer
123,2007,Australian Open,77.0,Roger Federer
124,2007,Roland Garros,75.57142857142857,Roger Federer
125,2007,Wimbledon,78.66666666666667,Roger Federer
126,2008,Australian Open,77.83333333333333,Roger Federer
127,2008,Roland Garros,72.57142857142857,Roger Federer
128,2008,Wimbledon,80.14285714285714,Roger Federer
129,2009,Australian Open,76.71428571428571,Roger Federer
130,2009,Roland Garros,79.0,Roger Federer
131,2009,Wimbledon,86.85714285714286,Roger Federer
132,2010,Australian Open,78.0,Roger Federer
133,2010,Roland Garros,77.2,Roger Federer
134,2010,Wimbledon,78.4,Roger Federer
135,2011,Australian Open,76.33333333333333,Roger Federer
136,2011,Roland Garros,78.71428571428571,Roger Federer
137,2011,Wimbledon,82.4,Roger Federer
138,2012,Australian Open,79.2,Roger Federer
139,2012,Roland Garros,71.66666666666667,Roger Federer
140,2012,Wimbledon,78.71428571428571,Roger Federer
141,2013,Australian Open,81.0,Roger Federer
142,2013,Roland Garros,74.2,Roger Federer
143,2013,Wimbledon,84.0,Roger Federer
144,2014,Australian Open,79.83333333333333,Roger Federer
145,2014,Roland Garros,79.5,Roger Federer
146,2014,Wimbledon,82.0,Roger Federer
147,2015,Australian Open,81.0,Roger Federer
148,2015,Roland Garros,73.0,Roger Federer
149,2015,Wimbledon,83.14285714285714,Roger Federer
150,2016,Australian Open,80.33333333333333,Roger Federer
151,2016,Wimbledon,81.16666666666667,Roger Federer
152,2017,Australian Open,78.57142857142857,Roger Federer
153,2017,Wimbledon,81.42857142857143,Roger Federer
154,2018,Australian Open,82.57142857142857,Roger Federer
155,2018,Wimbledon,88.8,Roger Federer
156,2019,Australian Open,84.25,Roger Federer
157,2019,Roland Garros,76.5,Roger Federer
158,2019,Wimbledon,80.85714285714286,Roger Federer
159,2020,Australian Open,74.33333333333333,Roger Federer
160,2021,Roland Garros,74.33333333333333,Roger Federer
161,2021,Wimbledon,74.6,Roger Federer
